,Termin,Program/kurs,Utbildningens namn,Anm.kod,Univ/högskola,Totalt antal sökande,1:a handssökande,Kvinnor 1:a hand,Kvinnor totalt,Män 1:a hand,Män totalt,25-34 1:a hand,25-34 totalt,<= 24 1:a hand,<= 24 totalt,>=35 1:a hand,>=35 totalt,BI,BII,HP
1079,HT2010,Program,Kandidatprogram i nationalekonomi och statistik,SU-33199,Stockholms universitet,500,33,9,196,22,288,7,54,23,419,1,11,15.65,15.50,0.60
1080,HT2010,Program,Kandidatprogram i nationalekonomi och statistik,SU-33199,Stockholms universitet,500,33,9,196,22,288,7,54,23,419,1,11,15.65,15.50,0.60
1081,HT2010,Program,Psykologprogrammet,SU-36246,Stockholms universitet,3819,807,578,2585,202,1125,253,799,451,2670,76,241,22.25,22.50,1.80
1082,HT2010,Program,Psykologprogrammet,SU-36246,Stockholms universitet,3819,807,578,2585,202,1125,253,799,451,2670,76,241,22.25,22.50,1.80
1083,HT2010,Program,Kandidatprogram i socialantropologi,SU-37101,Stockholms universitet,715,155,115,508,36,178,28,130,117,535,6,21,17.81,16.67,0.50
1084,HT2010,Program,Kandidatprogram i socialantropologi,SU-37101,Stockholms universitet,715,155,115,508,36,178,28,130,117,535,6,21,17.81,16.67,0.50
1085,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,283,1001,65,302,79,301,102,449,35,112,18.77,18.79,1.20
1086,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,283,1001,65,302,79,301,102,449,35,112,18.77,18.79,0.75
1087,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,283,1001,65,302,79,301,102,449,35,112,18.77,18.35,1.20
1088,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,283,1001,65,302,79,301,102,449,35,112,18.77,18.35,0.75
1089,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,283,1001,65,302,79,301,102,449,35,112,17.21,18.79,1.20
1090,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,283,1001,65,302,79,301,102,449,35,112,17.21,18.79,0.75
1091,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,283,1001,65,302,79,301,102,449,35,112,17.21,18.35,1.20
1092,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,283,1001,65,302,79,301,102,449,35,112,17.21,18.35,0.75
1093,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,175,677,41,185,79,301,102,449,35,112,18.77,18.79,1.20
1094,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,175,677,41,185,79,301,102,449,35,112,18.77,18.79,0.75
1095,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,175,677,41,185,79,301,102,449,35,112,18.77,18.35,1.20
1096,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,175,677,41,185,79,301,102,449,35,112,18.77,18.35,0.75
1097,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,175,677,41,185,79,301,102,449,35,112,17.21,18.79,1.20
1098,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,175,677,41,185,79,301,102,449,35,112,17.21,18.79,0.75
1099,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,175,677,41,185,79,301,102,449,35,112,17.21,18.35,1.20
1100,HT2010,Program,"Personal, arbete och organisation",SU-38229,Stockholms universitet,1325,352,175,677,41,185,79,301,102,449,35,112,17.21,18.35,0.75
1101,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,283,1001,65,302,79,301,102,449,35,112,18.77,18.79,1.20
1102,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,283,1001,65,302,79,301,102,449,35,112,18.77,18.79,0.75
1103,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,283,1001,65,302,79,301,102,449,35,112,18.77,18.35,1.20
1104,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,283,1001,65,302,79,301,102,449,35,112,18.77,18.35,0.75
1105,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,283,1001,65,302,79,301,102,449,35,112,17.21,18.79,1.20
1106,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,283,1001,65,302,79,301,102,449,35,112,17.21,18.79,0.75
1107,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,283,1001,65,302,79,301,102,449,35,112,17.21,18.35,1.20
1108,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,283,1001,65,302,79,301,102,449,35,112,17.21,18.35,0.75
1109,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,175,677,41,185,79,301,102,449,35,112,18.77,18.79,1.20
1110,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,175,677,41,185,79,301,102,449,35,112,18.77,18.79,0.75
1111,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,175,677,41,185,79,301,102,449,35,112,18.77,18.35,1.20
1112,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,175,677,41,185,79,301,102,449,35,112,18.77,18.35,0.75
1113,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,175,677,41,185,79,301,102,449,35,112,17.21,18.79,1.20
1114,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,175,677,41,185,79,301,102,449,35,112,17.21,18.79,0.75
1115,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,175,677,41,185,79,301,102,449,35,112,17.21,18.35,1.20
1116,VT2020,Program,"Kandidatprogrammet Personal, arbete och organisation",SU-38229,Stockholms universitet,870,217,175,677,41,185,79,301,102,449,35,112,17.21,18.35,0.75
1117,VT2020,Program,Kandidatprogram i historiska studier,SU-12411,Stockholms universitet,81,13,4,25,9,55,2,19,11,54,0,7,*,-,*
1118,VT2020,Program,"Kulturvetarprogrammet, kandidatprogram",SU-12420,Stockholms universitet,145,44,32,102,11,42,24,65,12,57,7,22,*,*,*
1119,VT2020,Program,"Kandidatprogram i historia, politik och samhälle",SU-12421,Stockholms universitet,402,69,32,212,36,183,21,115,41,254,6,26,15.78,16.22,0.60
1120,VT2020,Program,Kandidatprogram i företagsekonomi,SU-31806,Stockholms universitet,2049,665,290,968,367,1060,165,510,463,1416,29,102,18.13,18.36,1.10
1121,VT2020,Program,Kandidatprogram i marknadskommunikation (GI),SU-31943,Stockholms universitet,950,245,181,653,58,282,73,259,159,639,7,37,17.23,17.31,0.95
1122,VT2020,Program,Kandidatprogram i nationalekonomi och statistik,SU-33958,Stockholms universitet,700,89,30,276,59,415,32,195,49,448,8,48,17.50,18.72,1.10
1123,VT2020,Program,Psykologprogrammet,SU-36365,Stockholms universitet,3186,961,696,2311,257,836,406,1142,340,1593,207,412,21.15,21.38,1.60
1124,VT2020,Program,Kandidatprogram i sociologi: Arbetsliv och arbetsmarknad,SU-38228,Stockholms universitet,319,27,21,224,6,93,8,110,17,184,2,23,*,15.25,*
1125,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,16,130,23,265,4,21,16.41,16.86,0.75
1126,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,16,130,23,265,4,21,16.41,16.86,1.00
1127,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,16,130,23,265,4,21,16.41,17.95,0.75
1128,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,16,130,23,265,4,21,16.41,17.95,1.00
1129,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,16,130,23,265,4,21,17.90,16.86,0.75
1130,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,16,130,23,265,4,21,17.90,16.86,1.00
1131,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,16,130,23,265,4,21,17.90,17.95,0.75
1132,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,16,130,23,265,4,21,17.90,17.95,1.00
1133,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,87,240,154,540,38,79,16.41,16.86,0.75
1134,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,87,240,154,540,38,79,16.41,16.86,1.00
1135,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,87,240,154,540,38,79,16.41,17.95,0.75
1136,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,87,240,154,540,38,79,16.41,17.95,1.00
1137,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,87,240,154,540,38,79,17.90,16.86,0.75
1138,VT2020,Program,Kandidatprogram för sociologisk samhällsanalys,SU-38230,Stockholms universitet,420,43,33,304,10,112,87,240,154,540,38,79,17.90,16.86,1.00
